Dry bulb temp (C),RH,Pressure
-10,1.2706,100
-10,1.2721,100
-10,1.2736,100
-11,1.2751,100
-11,1.2766,100
-12,1.2781,100
-12,1.2796,100
-12,1.2811,100
-13,1.2826,100
-13,1.2841,100
-13,1.2856,100
-12,1.2871,100
-10,1.2886,100
-8,1.2901,100
-7,1.2916,100
-7,1.2931,100
-6,1.2946,100
-6,1.2961,100
-6,1.2976,100
-7,1.2991,100
-8,1.3006,100
-9,1.3021,100
-9,1.3036,100
-9,1.3051,100
-9,1.3066,100
-10,1.3081,100
-10,1.3096,100
-11,1.3111,100
-11,1.3126,100
-11,1.3141,100
-10,1.3156,100
-10,1.3171,100
-10,1.3186,100
-10,1.3201,100
-10,1.3216,100
-9,1.3231,100
-9,1.3246,100
-9,1.3261,100
-8,1.3276,100
-8,1.3291,99
-8,1.3306,99
-8,1.3321,99
-8,1.3336,99
-8,1.3351,99
-9,1.3366,99
-9,1.3381,99
-9,1.3396,99
-9,1.3411,99
-9,1.3426,99
-10,1.3441,99
-10,1.3456,99
-10,1.3471,99
-11,1.3486,99
-11,1.3501,99
-11,1.3516,99
-11,1.3531,99
-11,1.3546,99
-11,1.3561,99
-11,1.3576,99
-11,1.3591,99
-10,1.3606,99
-10,1.3621,99
-10,1.3636,99
-10,1.3651,99
-10,1.3666,99
-10,1.3681,99
-10,1.3696,99
-10,1.3711,99
-11,1.3726,99
-11,1.3741,100
-11,1.3756,100
-12,1.3771,100
-12,1.3786,100
-12,1.3801,100
-12,1.3816,100
-13,1.3831,100
-13,1.3846,100
-14,1.3861,100
-15,1.3876,100
-15,1.3891,100
-15,1.3906,100
-16,1.3921,100
-16,1.3936,100
-15,1.3951,100
-14,1.3966,100
-13,1.3981,100
-12,1.3996,100
-10,1.4011,100
-9,1.4026,100
-9,1.4041,100
-9,1.4056,100
-9,1.4071,100
-10,1.4086,99
-10,1.4101,99
-9,1.4116,99
-8,1.4131,99
-8,1.4146,99
-7,1.4161,99
-7,1.4176,98
-7,1.4191,98
-7,1.4206,98
-7,1.4221,98
-7,1.4236,98
-6,1.4251,98
-6,1.4266,97
-6,1.4281,97
-5,1.4296,97
-5,1.4311,97
-4,1.4326,97
-3,1.4341,97
-2,1.4356,97
-2,1.4371,97
-2,1.4386,97
-2,1.4401,97
-2,1.4416,97
-2,1.4431,97
-3,1.4446,97
-3,1.4461,97
-3,1.4476,98
-3,1.4491,98
-4,1.4506,98
-5,1.4521,98
-6,1.4536,98
-7,1.4551,98
-9,1.4566,98
-11,1.4581,98
-12,1.4596,98
-12,1.4611,98
-12,1.4626,98
-12,1.4641,98
-12,1.4656,98
-12,1.4671,98
-11,1.4686,98
-10,1.4701,98
-9,1.4716,98
-9,1.4731,98
-9,1.4746,98
-9,1.4761,98
-9,1.4776,98
-10,1.4791,98
-11,1.4806,98
-12,1.4821,98
-13,1.4836,98
-14,1.4851,98
-15,1.4866,98
-16,1.4881,98
-17,1.4896,98
-17,1.4911,98
-18,1.4926,98
-18,1.4941,98
-18,1.4956,99
-19,1.4971,99
-19,1.4986,99
-19,1.5001,99
-19,1.5016,99
-18,1.5031,99
-16,1.5046,99
-15,1.5061,99
-14,1.5076,99
-13,1.5091,99
-13,1.5106,99
-13,1.5121,99
-13,1.5136,99
-14,1.5151,99
-15,1.5166,99
-16,1.5181,99
-17,1.5196,99
-18,1.5211,99
-18,1.5226,99
-18,1.5241,98
-16,1.5256,98
-14,1.5271,98
-13,1.5286,98
-12,1.5301,98
-12,1.5316,98
-12,1.5331,98
-12,1.5346,97
-12,1.5361,97
-12,1.5376,97
-11,1.5391,97
-11,1.5406,97
-11,1.5421,97
-11,1.5436,97
-11,1.5451,97
-11,1.5466,97
-12,1.5481,97
-13,1.5496,97
-14,1.5511,97
-15,1.5526,97
-15,1.5541,97
-15,1.5556,98
-15,1.5571,98
-15,1.5586,98
-15,1.5601,98
-15,1.5616,98
-15,1.5631,98
-15,1.5646,98
-16,1.5661,98
-16,1.5676,98
-16,1.5691,99
-17,1.5706,99
-17,1.5721,99
-18,1.5736,99
-17,1.5751,99
-15,1.5766,99
-14,1.5781,99
-12,1.5796,99
-11,1.5811,99
-11,1.5826,99
-11,1.5841,99
-11,1.5856,99
-13,1.5871,99
-15,1.5886,99
-16,1.5901,99
-16,1.5916,99
-16,1.5931,99
-16,1.5946,99
-17,1.5961,99
-16,1.5976,99
-16,1.5991,99
-16,1.6006,98
-15,1.6021,98
-13,1.6036,98
-12,1.6051,98
-12,1.6066,98
-11,1.6081,98
-10,1.6096,98
-9,1.6111,98
-8,1.6126,98
-8,1.6141,98
-7,1.6156,97
-6,1.6171,97
-6,1.6186,97
-5,1.6201,97
-5,1.6216,97
-5,1.6231,97
-6,1.6246,97
-6,1.6261,97
-6,1.6276,97
-6,1.6291,97
-6,1.6306,97
-6,1.6321,97
-5,1.6336,97
-5,1.6351,98
-5,1.6366,98
-5,1.6381,98
-5,1.6396,98
-6,1.6411,98
-6,1.6426,98
-7,1.6441,98
-7,1.6456,98
-6,1.6471,98
-5,1.6486,98
-4,1.6501,97
-3,1.6516,97
-3,1.6531,97
-2,1.6546,97
-2,1.6561,97
-2,1.6576,97
-3,1.6591,97
-3,1.6606,97
-3,1.6621,97
-3,1.6636,97
-2,1.6651,96
-2,1.6666,96
-2,1.6681,96
-2,1.6696,96
-2,1.6711,96
-3,1.6726,96
-4,1.6741,96
-5,1.6756,96
-7,1.6771,96
-9,1.6786,97
-10,1.6801,97
-11,1.6816,97
-11,1.6831,97
-10,1.6846,97
-9,1.6861,97
-8,1.6876,98
-8,1.6891,98
-8,1.6906,98
-8,1.6921,98
-9,1.6936,98
-10,1.6951,98
-11,1.6966,98
-12,1.6981,98
-13,1.6996,99
-14,1.7011,99
-14,1.7026,99
-15,1.7041,99
-16,1.7056,99
-17,1.7071,99
-19,1.7086,99
-20,1.7101,99
-21,1.7116,99
-21,1.7131,99
-21,1.7146,99
-21,1.7161,99
-20,1.7176,100
-19,1.7191,100
-17,1.7206,100
-16,1.7221,100
-14,1.7236,100
-13,1.7251,100
-12,1.7266,100
-12,1.7281,100
-12,1.7296,100
-14,1.7311,100
-15,1.7326,100
-15,1.7341,100
-16,1.7356,100
-16,1.7371,100
-17,1.7386,100
-17,1.7401,100
-18,1.7416,100
-18,1.7431,100
-19,1.7446,100
-19,1.7461,100
-19,1.7476,100
-19,1.7491,100
-19,1.7506,100
-19,1.7521,100
-18,1.7536,100
-16,1.7551,100
-13,1.7566,100
-10,1.7581,100
-8,1.7596,100
-7,1.7611,100
-7,1.7626,100
-7,1.7641,100
-7,1.7656,100
-9,1.7671,100
-12,1.7686,100
-13,1.7701,100
-14,1.7716,100
-13,1.7731,100
-13,1.7746,100
-13,1.7761,100
-13,1.7776,100
-13,1.7791,99
-12,1.7806,99
-11,1.7821,99
-10,1.7836,99
-9,1.7851,99
-9,1.7866,99
-8,1.7881,99
-7,1.7896,99
-6,1.7911,99
-4,1.7926,99
-3,1.7941,99
-2,1.7956,99
-1,1.7971,99
-1,1.7986,99
-1,1.8001,99
-2,1.8016,98
-3,1.8031,98
-4,1.8046,98
-5,1.8061,98
-5,1.8076,98
-4,1.8091,98
-4,1.8106,98
-4,1.8121,98
-6,1.8136,98
-7,1.8151,98
-8,1.8166,98
-9,1.8181,98
-10,1.8196,98
-11,1.8211,98
-11,1.8226,98
-12,1.8241,98
-11,1.8256,98
-8,1.8271,98
-6,1.8286,99
-4,1.8301,99
-2,1.8316,99
-1,1.8331,99
0,1.8346,99
0,1.8361,99
-1,1.8376,99
-3,1.8391,99
-5,1.8406,99
-7,1.8421,99
-8,1.8436,99
-9,1.8451,99
-10,1.8466,99
-11,1.8481,99
-11,1.8496,99
-12,1.8511,99
-11,1.8526,99
-11,1.8541,99
-10,1.8556,99
-9,1.8571,99
-9,1.8586,99
-9,1.8601,99
-8,1.8616,99
-7,1.8631,99
-4,1.8646,99
-2,1.8661,99
-1,1.8676,99
-1,1.8691,99
-1,1.8706,99
-1,1.8721,99
-1,1.8736,99
-3,1.8751,99
-5,1.8766,99
-6,1.8781,99
6,1.8796,96
6,1.8811,96
6,1.8826,96
5,1.8841,96
3,1.8856,96
1,1.8871,97
0,1.8886,97
0,1.8901,97
0,1.8916,97
0,1.8931,97
0,1.8946,97
0,1.8961,97
0,1.8976,97
0,1.8991,98
1,1.9006,98
2,1.9021,98
3,1.9036,98
4,1.9051,98
4,1.9066,98
4,1.9081,98
3,1.9096,98
1,1.9111,98
0,1.9126,98
-1,1.9141,98
-1,1.9156,98
-1,1.9171,98
-1,1.9186,98
-1,1.9201,98
-2,1.9216,98
-2,1.9231,98
-2,1.9246,98
-2,1.9261,98
-2,1.9276,98
-2,1.9291,99
-2,1.9306,99
-2,1.9321,99
-1,1.9336,99
0,1.9351,99
1,1.9366,99
2,1.9381,99
3,1.9396,99
4,1.9411,98
3,1.9426,98
3,1.9441,98
2,1.9456,98
1,1.9471,98
0,1.9486,98
0,1.9501,98
0,1.9516,98
1,1.9531,97
2,1.9546,97
2,1.9561,97
2,1.9576,97
3,1.9591,97
4,1.9606,97
5,1.9621,96
6,1.9636,96
6,1.9651,96
7,1.9666,96
8,1.9681,96
8,1.9696,96
8,1.9711,96
8,1.9726,96
9,1.9741,96
10,1.9756,96
9,1.9771,96
9,1.9786,96
8,1.9801,96
7,1.9816,97
5,1.9831,97
3,1.9846,97
2,1.9861,97
1,1.9876,97
1,1.9891,97
1,1.9906,97
0,1.9921,97
0,1.9936,97
0,1.9951,97
0,1.9966,98
0,1.9981,98
-1,1.9996,98
-1,2.0011,98
-2,2.0026,98
-2,2.0041,98
-1,2.0056,98
0,2.0071,98
0,2.0086,98
0,2.0101,98
1,2.0116,98
1,2.0131,98
1,2.0146,98
0,2.0161,98
0,2.0176,98
0,2.0191,98
-1,2.0206,98
-2,2.0221,98
-2,2.0236,98
-2,2.0251,98
-2,2.0266,98
-2,2.0281,98
-2,2.0296,99
-2,2.0311,99
-3,2.0326,99
-3,2.0341,99
-4,2.0356,99
-4,2.0371,99
-4,2.0386,99
-4,2.0401,99
-3,2.0416,99
-2,2.0431,99
-1,2.0446,99
0,2.0461,99
0,2.0476,99
0,2.0491,99
0,2.0506,99
0,2.0521,99
0,2.0536,99
0,2.0551,99
-1,2.0566,99
-1,2.0581,99
-1,2.0596,99
-1,2.0611,99
-1,2.0626,99
0,2.0641,99
0,2.0656,99
-1,2.0671,99
-1,2.0686,99
-1,2.0701,99
-1,2.0716,99
-1,2.0731,99
-2,2.0746,99
-3,2.0761,99
-2,2.0776,99
-1,2.0791,99
0,2.0806,99
0,2.0821,99
0,2.0836,99
1,2.0851,99
1,2.0866,98
1,2.0881,98
0,2.0896,98
0,2.0911,98
-1,2.0926,98
-1,2.0941,98
-1,2.0956,98
-1,2.0971,98
-2,2.0986,98
-2,2.1001,98
-2,2.1016,98
-2,2.1031,98
